HUC,Land Use,Area (ac),Precip (in/yr),RC,Runoff
501,OPS,661.100673,73,0.015,2627776.0100740497
501,TRA,34.017728,73,0.071666667,646028.974566386
502,AGR,2914.713382,45,0.115,54753619.55921551
502,FOR,12919.01657,45,0.051,107626389.1921845
502,OPS,1866.600091,45,0.06,18294547.491891
502,TRA,141.866297,45,0.065333333,1514025.4871187801
503,AGR,7567.569531,45,0.139,171826585.12155017
503,COM,114.693558,45,0.589,11035028.4998877
503,FOR,12311.38244,45,0.066,132730245.223884
503,OPS,1684.764289,45,0.102,28071037.154031303
503,RES,403.344108,45,0.332,21874238.3338776
503,TRA,272.217943,45,0.222333333,9886452.071743181
601,AGR,26.000006,45,0.118,501157.91565179994
601,FOR,9631.135087,45,0.048,75515803.9901496
601,OPS,2524.958235,45,0.042,17322980.962864503
601,TRA,56.406517,45,0.067666667,623480.977753285
602,AGR,10577.03105,45,0.173,298902137.8090275
602,FOR,9080.342428,45,0.083,123111736.65594539
602,OPS,1907.594821,45,0.208,64813967.7141528
602,TRA,228.335711,45,0.15125,5641419.056767312
603,AGR,6757.372863,45,0.139,153430543.14677596
603,COM,209.080501,45,0.574,19603994.1072129
603,FOR,3599.928475,45,0.085,49984106.89325626
603,OPS,1389.145411,45,0.229,51963970.761088654
603,RES,395.095904,45,0.357,23040392.982868798
603,TRA,283.106385,45,0.197333333,9125764.441228857
604,AGR,10340.20855,45,0.132,222957644.79681
604,COM,396.266043,45,0.496,32106108.8295288
604,FOR,5217.769993,45,0.077,65628850.08345434
604,OPS,606.306349,45,0.143,14162740.321608447
604,RES,915.563749,45,0.323,48307020.30292545
604,TRA,371.407869,45,0.213,12922598.260444948
605,AGR,11239.92593,45,0.207,380060673.43775845
605,COM,185.636013,45,0.479,14525024.864580447
605,FOR,1202.199739,45,0.099,19441553.40919935
605,OPS,301.064832,45,0.256,12589808.718643202
605,RES,485.939769,45,0.296,23495965.334780402
605,TRA,311.510831,45,0.291666667,14841544.171418013
606,AGR,9953.616438,45,0.215,349573497.70666945
606,COM,11.743991,45,0.48,920822.8463280001
606,FOR,1573.951719,45,0.112,28795761.489448804
606,OPS,328.705807,45,0.268,14390017.077684602
606,RES,415.533052,45,0.296,20091687.9170832
606,TRA,206.048123,45,0.275,9255939.24531375
607,AGR,14380.03287,45,0.199,467446695.49358547
607,COM,2046.264847,45,0.559,186849865.78141457
607,FOR,3521.883895,45,0.116,66734769.172796994
607,OPS,1258.289702,45,0.281,57757196.01289771
607,PUB,80.692542,45,0.428,5641522.2428796
607,RES,5108.831361,45,0.389,324631237.4967271
607,TRA,954.260538,45,0.392333333,61156315.31619622
